loc,popgroup1,popgroup2,popgroup3,popgroup4,popgroup5,popgroup6,popgroup7,popgroup8,popgroup9,popgroup10,popgroup11,popgroup12,popgroup13,popgroup14,popgroup15,popgroup16,popgroup17,popgroup18,popgroup19,popgroup20,popgroup21
loc1,1.2705753776252362e-12,1.58863574493412e-14,9.434998488871421e-17,3.539052334109113e-19,9.40307314532684e-22,1.88110783494844e-24,2.9400018284040877e-27,3.67596608357388e-30,3.734382167756267e-33,3.11280128221928e-36,2.1406121265934734e-39,1.2165758629841784e-42,5.7041949352101726e-46,2.1944965018881083e-49,6.859600080453805e-53,1.715349766045329e-56,3.351171152200315e-60,4.929485327976063e-64,5.136227212527301e-68,3.3799830449028147e-72,1.0565217099594315e-76
loc2,1.5631188596350497e-12,7.889000255591355e-13,1.891235219146694e-13,2.863497238600608e-14,3.0710413929443023e-15,2.479908286900281e-16,1.564500116914274e-17,7.895971407504504e-19,3.237866241280069e-20,1.0894256888006953e-21,3.024059057589334e-23,6.937413076774046e-25,1.312982051839726e-26,2.0389444580775484e-28,2.5726183987482872e-30,2.596781054769284e-32,2.0477895721223035e-34,1.2158958285294224e-36,5.113815904505495e-39,1.3583805536576324e-41,1.7139234916366755e-44
loc3,2.1558290609349767e-12,1.8930855903682014e-12,7.896229950532764e-13,2.0801610955793092e-13,3.881609408402235e-14,5.453656022465532e-15,5.986233914620227e-16,5.25665664764076e-17,3.7504977416611325e-18,2.1956017942560174e-19,1.0604060436960173e-20,4.232582590395982e-22,1.393774892183514e-23,3.7658689570402996e-25,8.267251317569624e-27,1.4519346292192518e-28,1.9921545022825186e-30,2.0580694182314556e-32,1.506033738261574e-34,6.960445349075197e-37,1.528033812101614e-39
loc4,3.922878699014639e-12,3.744854901190171e-12,1.6980822428649267e-12,4.863065185839677e-13,9.865046601802535e-14,1.5067778925311803e-14,1.797998679282299e-15,1.7164038664093934e-16,1.3312909189473804e-17,8.472504853782192e-19,4.4484081891844995e-20,1.9302433572044447e-21,6.909926852822841e-23,2.0296455683588496e-24,4.843846023238459e-26,9.248055783774944e-28,1.379432908424861e-29,1.5492152827569266e-31,1.2324254052872493e-33,6.192088532627995e-36,1.4777714829571391e-38
loc5,7.555246673766991e-12,7.257955981589951e-12,3.3118725926529475e-12,9.544662086641457e-13,1.9484316407513201e-13,2.994820779220806e-14,3.596222321867949e-15,3.45471490729169e-16,2.696505219434569e-17,1.7269337924454182e-18,9.124394602118051e-20,3.984254388818037e-21,1.4353043763235485e-22,4.242543751222857e-24,1.0189010738478093e-25,1.9576168622685088e-27,2.9384168439232657e-29,3.320933359238122e-31,2.6585485535098193e-33,1.3441776715936698e-35,3.22821437642044e-38
loc6,1.0572724554993868e-11,1.36696675849688e-11,8.395036698725021e-12,3.2562286221950517e-12,8.946328882011432e-13,1.8506993732681833e-13,2.991003537060936e-14,3.867122791710017e-15,4.0623970456575103e-16,3.501564610802731e-17,2.489980061846556e-18,1.4633365644003212e-19,7.094904072349899e-21,2.822501637966185e-22,9.123159065655359e-24,2.359099607742989e-25,4.7658167588949505e-27,7.249189456500912e-29,7.810507248738019e-31,5.314919297883745e-33,1.717938920689322e-35
loc7,1.0401898465963196e-11,2.0837762061328618e-11,1.9828193511410228e-11,1.1916339498469248e-11,5.072712705644137e-12,1.6259182796151688e-12,4.071432050679074e-13,8.156158474198472e-14,1.3275396146960063e-14,1.7729426801938212e-15,1.9534209847872888e-16,1.778736563408779e-17,1.3362304510823233e-18,8.236381757209173e-20,4.124914405398888e-21,1.6526595637191504e-22,5.172993010279127e-24,1.2191620353311947e-25,2.0352541485227288e-27,2.145870513319812e-29,1.0746869746252323e-31
loc8,1.8454363873813963e-11,3.811179144505954e-11,3.7386366287925237e-11,2.3162999352296863e-11,1.016515518502929e-11,3.3588783840398863e-12,8.670907958218215e-13,1.790708354958988e-13,3.0047511722265124e-14,4.1369239566037245e-15,4.698946616362657e-16,4.4110107279384616e-17,3.416092842754159e-18,2.170733897875533e-19,1.1207451820642912e-20,4.629106365730517e-22,1.4937484569541993e-23,3.6292662299973016e-25,6.2459408247120284e-27,6.78898029406028e-29,3.5051357345753286e-31
loc9,3.334257574086305e-11,6.987127644075173e-11,6.95491485710711e-11,4.372326682673771e-11,1.9470229399972e-11,6.528156871110798e-12,1.7100158103223701e-12,3.5834360347470184e-13,6.101302491946507e-14,8.523752461450891e-15,9.824106213221384e-16,9.357716833305647e-17,7.353611769480847e-18,4.741512148372778e-19,2.4840275436498237e-20,1.0410843873473703e-21,3.408831155165063e-23,8.404001003313621e-25,1.467588771671796e-26,1.618640155517318e-28,8.479882796340669e-31
loc10,5.128201125206122e-11,1.1759888428158212e-10,1.2809582136398008e-10,8.812403397847298e-11,4.294290847829947e-11,1.5756131248541506e-11,4.516455698069409e-12,1.0357046029055841e-12,1.9297339067499265e-13,2.950151509967137e-14,3.720875696171121e-15,3.8784717516549823e-16,3.3352627430388156e-17,2.3533409011859156e-18,1.3491585916618763e-19,6.187727088881255e-21,2.217120658288447e-22,5.9814786182056324e-24,1.1430506115125197e-25,1.3795899155866213e-27,7.909120122145545e-30
